coral_number,first_seen_year,years_since,display_year,opacity_pct,fade_label,length,width,height,died_this_year,volume_cm3,status
LTER1_BR_T01_Poc_1.9_85_0,2018,2,2020,67,Year +2,17,10,10,0,982.2906955696532,Surviving
LTER1_BR_T01_Poc_1.9_85_0,2018,3,2021,50,Year +3,19.1,10.3,10.6,0,1241.1230236404124,Surviving
LTER1_BR_T01_Poc_1.9_85_0,2018,4,2022,33,Year +4,21,13.7,11.8,0,1949.816390481115,Surviving
LTER1_BR_T01_Poc_1.9_85_0,2018,5,2023,17,Year +5,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_2.03_90_10,2019,0,2019,100,Year +0,16,18,14,0,2144.660584850632,Recruited
LTER1_BR_T01_Poc_2.03_90_10,2019,1,2020,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_2.03_90_10,2019,2,2021,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.03_90_10,2019,3,2022,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.03_90_10,2019,4,2023,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.03_90_10,2019,5,2024,17,Year +5,NA,NA,NA,NA,NA,Surviving
LTER1_BR_T01_Poc_2.39_55_3,2013,0,2013,100,Year +0,2.7,0.9,1.7,0,2.887104256101775,Recruited
LTER1_BR_T01_Poc_2.39_55_3,2013,1,2014,83,Year +1,3.2,0.6,2.2,0,4.1887902047863905,Surviving
LTER1_BR_T01_Poc_2.39_55_3,2013,2,2015,67,Year +2,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_2.39_55_3,2013,3,2016,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.39_55_3,2013,4,2017,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.39_55_3,2013,5,2018,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.45_57_30,2015,0,2015,100,Year +0,1.8,1.4,1.5,0,2.013392432553414,Recruited
LTER1_BR_T01_Poc_2.45_57_30,2015,1,2016,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_2.45_57_30,2015,2,2017,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.45_57_30,2015,3,2018,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.45_57_30,2015,4,2019,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.45_57_30,2015,5,2020,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.71_40_17,2013,0,2013,100,Year +0,2,1.5,1.8,0,2.887104256101775,Recruited
LTER1_BR_T01_Poc_2.71_40_17,2013,1,2014,83,Year +1,2.5,2.3,1.3,0,4.401739766076942,Surviving
LTER1_BR_T01_Poc_2.71_40_17,2013,2,2015,67,Year +2,4.1,3.5,2.3,0,18.816569198676053,Surviving
